"NUMEROPT","CARACTERISTICA"
"6263/2020","Trabalhos em Pisos Gradeados"
"6266/2020","Elétrico"
"6267/2020","Andaime - Pré-Montagem/Desmontagem"
"6268/2020","Uso de Marreta"
"6270/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6270/2020","Parafusadeira e Torqueadeira"
"6309/2020","Elétrico"
"6315/2020","Risco de Perda de Produção"
"6323/2020","Pressurizado"
"6323/2020","Parafusadeira e Torqueadeira"
"6327/2020","Pressurizado"
"6330/2020","Inibição em funções de Controle e Segurança"
"6337/2020","Uso de Marreta"
"6339/2020","Inibição em funções de Controle e Segurança"
"6339/2020","Uso de Marreta"
"6339/2020","Parafusadeira e Torqueadeira"
"6352/2020","Elétrico"
"6361/2020","Pressurizado"
"6361/2020","Parafusadeira e Torqueadeira"
"6371/2020","Andaime - Pré-Montagem/Desmontagem"
"6377/2020","Elétrico"
"6378/2020","Inibição em funções de Controle e Segurança"
"6380/2020","Uso de Marreta"
"6389/2020","Inibição em funções de Controle e Segurança"
"6401/2020","Andaime - Pós-Montagem/Utilização"
"6406/2020","Intervenção Automação - PLC"
"6408/2020","Pressurizado"
"6415/2020","Uso de Marreta"
"6419/2020","Chama Aberta"
"6422/2020","Mov. de Carga - Guindaste Off"
"6427/2020","Pressurizado"
"6458/2020","Inibição em funções de Controle e Segurança"
"6462/2020","Parafusadeira e Torqueadeira"
"6474/2020","Elétrico"
"6482/2020","Inibição em funções de Controle e Segurança"
"6484/2020","Parafusadeira e Torqueadeira"
"6496/2020","Elétrico"
"6506/2020","Pressurizado"
"6512/2020","Risco de Perda de Produção"
"6522/2020","Serviço Crítico"
"6556/2020","Pressurizado"
"6575/2020","Andaime - Pré-Montagem/Desmontagem"
"6590/2020","Andaime - Pós-Montagem/Utilização"
"6591/2020","Chama Aberta"
"6591/2020","Esmerilhadeira e Lixadeira"
"6592/2020","Andaime - Pré-Montagem/Desmontagem"
"6597/2020","Trabalhos em Pisos Gradeados"
"6626/2020","Acesso e trabalho em casas de bombas"
"6628/2020","Risco de Perda de Produção"
"6633/2020","Elétrico"
"6636/2020","Intervenção Automação - PLC"
"6657/2020","Risco de Perda de Produção"
"6661/2020","Elétrico"
"6664/2020","Andaime - Pré-Montagem/Desmontagem"
"6672/2020","Andaime - Pré-Montagem/Desmontagem"
"6681/2020","Serviço Crítico"
"6687/2020","Pressurizado"
"6695/2020","Pressurizado"
"6707/2020","Chama Aberta"
"6713/2020","Pressurizado"
"6717/2020","Pressurizado"
"6725/2020","Chama Aberta"
"6731/2020","Altura - Acesso por Cordas"
"6734/2020","Tratamento Mecânico e Pintura"
"6737/2020","Espaço Confinado"
"6737/2020","Parafusadeira e Torqueadeira"
"6779/2020","Andaime - Pré-Montagem/Desmontagem"
"6790/2020","Chama Aberta"
"6804/2020","Risco de Perda de Produção"
"6825/2020","Chama Aberta"
"6832/2020","Pressurizado"
"6838/2020","Pressurizado"
"6841/2020","Andaime - Pré-Montagem/Desmontagem"
"6847/2020","Esmerilhadeira e Lixadeira"
"6852/2020","Risco de Perda de Produção"
"6867/2020","Pressurizado"
"6869/2020","Parafusadeira e Torqueadeira"
"6885/2020","Inibição em funções de Controle e Segurança"
"6891/2020","Espaço Confinado"
"6896/2020","Elétrico"
"6923/2020","Andaime - Pré-Montagem/Desmontagem"
"6932/2020","Andaime - Pré-Montagem/Desmontagem"
"6934/2020","Elétrico"
"6936/2020","Serviço Crítico"
"6953/2020","Andaime - Pré-Montagem/Desmontagem"
"6958/2020","Chama Aberta"
"6961/2020","Pressurizado"
"6974/2020","Altura - Acesso por Cordas"
"6985/2020","Elétrico"
"7023/2020","Andaime - Pré-Montagem/Desmontagem"
"7029/2020","Pressurizado"
"7030/2020","Andaime - Pós-Montagem/Utilização"
"7031/2020","Altura - Acesso por Cordas"
"7031/2020","Risco de Perda de Produção"
"7032/2020","Serviço Crítico"
"7032/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7034/2020","Esmerilhadeira e Lixadeira"
"7049/2020","Andaime - Pré-Montagem/Desmontagem"
"7064/2020","Risco de Perda de Produção"
"7067/2020","Altura - Acesso por Cordas"
"7069/2020","Andaime - Pré-Montagem/Desmontagem"
"7071/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7071/2020","Esmerilhadeira e Lixadeira"
"7077/2020","Andaime - Pré-Montagem/Desmontagem"
"7079/2020","Pressurizado"
"7083/2020","Altura - Acesso por Cordas"
"7092/2020","Pressurizado"
"7103/2020","Altura - Acesso por Cordas"
"7121/2020","Altura - Acesso por Cordas"
"7122/2020","Pressurizado"
"7125/2020","Chama Aberta"
"7126/2020","Altura - Acesso por Cordas"
"7162/2020","Andaime - Pós-Montagem/Utilização"
"7165/2020","Hidrojateamento"
"7180/2020","Andaime - Pré-Montagem/Desmontagem"
"7187/2020","Pressurizado"
"7194/2020","Altura - Acesso por Cordas"
"7218/2020","Pressurizado"
"7220/2020","Altura - Acesso por Cordas"
"7223/2020","Esmerilhadeira e Lixadeira"
"7229/2020","Altura - Acesso por Cordas"
"7237/2020","Pressurizado"
"7240/2020","Andaime - Pós-Montagem/Utilização"
"7250/2020","Tratamento manual e pintura"
"7286/2020","Inibição em funções de Controle e Segurança"
"7295/2020","Elétrico"
"7301/2020","Andaime - Pós-Montagem/Utilização"
"7318/2020","Andaime - Pós-Montagem/Utilização"
"7320/2020","Andaime - Pós-Montagem/Utilização"
"7321/2020","Andaime - Pós-Montagem/Utilização"
"7321/2020","Parafusadeira e Torqueadeira"
"7322/2020","Esmerilhadeira e Lixadeira"
"7357/2020","Andaime - Pré-Montagem/Desmontagem"
"7358/2020","Elétrico"
"7382/2020","Elétrico"
"7388/2020","Pressurizado"
"7390/2020","Hidrojateamento"
"7399/2020","Andaime - Pós-Montagem/Utilização"
"7399/2020","Esmerilhadeira e Lixadeira"
"7401/2020","Altura - Acesso por Cordas"
"7411/2020","Risco de Perda de Produção"
"7414/2020","Pressurizado"
"7414/2020","Substituição de PSV"
"7428/2020","Esmerilhadeira e Lixadeira"
"7439/2020","Andaime - Pós-Montagem/Utilização"
"7446/2020","Pressurizado"
"7450/2020","Andaime - Pré-Montagem/Desmontagem"
"7457/2020","Substituição de PSV"
"7458/2020","Andaime - Pós-Montagem/Utilização"
"7460/2020","Pressurizado"
"7471/2020","Risco de Perda de Produção"
"7474/2020","Pressurizado"
"7503/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7506/2020","Andaime - Pós-Montagem/Utilização"
"7510/2020","Pressurizado"
"7524/2020","Serviço Crítico"
"7525/2020","Pressurizado"
"7526/2020","Risco de Perda de Produção"
"7530/2020","Altura - Acesso por Cordas"
"7557/2020","Uso de Marreta"
"7560/2020","Pressurizado"
"7561/2020","Pressurizado"
"7599/2020","Movimentação de Carga"
"7613/2020","Elétrico"
"7625/2020","Chama Aberta"
"7625/2020","Uso de Marreta"
"7626/2020","Esmerilhadeira e Lixadeira"
"7630/2020","Andaime - Pré-Montagem/Desmontagem"
"7632/2020","Pressurizado"
"7633/2020","Andaime - Pré-Montagem/Desmontagem"
"7659/2020","Chama Aberta"
"7659/2020","Esmerilhadeira e Lixadeira"
"7662/2020","Pressurizado"
"7673/2020","Chama Aberta"
"7678/2020","Chama Aberta"
"7681/2020","Movimentação de Carga"
"7697/2020","Tratamento Mecânico e Pintura"
"7700/2020","Chama Aberta"
"7717/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7733/2020","Chama Aberta"
"7755/2020","Uso de Marreta"
"7770/2020","Pressurizado"
"7778/2020","Pressurizado"
"7788/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7796/2020","Uso de Marreta"
"7799/2020","Andaime - Pré-Montagem/Desmontagem"
"7809/2020","Andaime - Pós-Montagem/Utilização"
"7812/2020","Pressurizado"
"7817/2020","Pressurizado"
"7824/2020","Espaço Confinado"
"7827/2020","Andaime - Pré-Montagem/Desmontagem"
"7830/2020","Elétrico"
"7832/2020","Sobre o Mar"
"7843/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7854/2020","Pressurizado"
"7857/2020","Altura - Acesso por Cordas"
"7858/2020","Tratamento manual e pintura"
"7862/2020","Serviço Crítico"
"7870/2020","Andaime - Pré-Montagem/Desmontagem"
"7873/2020","Uso de Marreta"
"7878/2020","Altura - Acesso por Cordas"
"7885/2020","Altura - Acesso por Cordas"
"7888/2020","Parafusadeira e Torqueadeira"
"7910/2020","Andaime - Pré-Montagem/Desmontagem"
"7920/2020","Andaime - Pré-Montagem/Desmontagem"
"7921/2020","Parafusadeira e Torqueadeira"
"7927/2020","Sobre o Mar"
"7937/2020","Pressurizado"
"7939/2020","Andaime - Pós-Montagem/Utilização"
"7951/2020","Elétrico"
"7955/2020","Tratamento manual e pintura"
"7962/2020","Elétrico"
"7991/2020","Intervenção Automação - PLC"
"7991/2020","Inibição em funções de Controle e Segurança"
"8010/2020","Movimentação de Carga"
"8011/2020","Andaime - Pré-Montagem/Desmontagem"
"8012/2020","Elétrico"
"8014/2020","Tratamento Mecânico e Pintura"
"8017/2020","Altura - Acesso por Cordas"
"8055/2020","Andaime - Pós-Montagem/Utilização"
"8061/2020","Elétrico"
"8072/2020","Andaime - Pré-Montagem/Desmontagem"
"8077/2020","Serviço Crítico"
"8087/2020","Chama Aberta"
"8093/2020","Andaime - Pós-Montagem/Utilização"
"8093/2020","Esmerilhadeira e Lixadeira"
"8096/2020","Andaime - Pós-Montagem/Utilização"
"8108/2020","Espaço Confinado"
"8111/2020","Altura - Acesso por Cordas"
"8114/2020","Andaime - Pós-Montagem/Utilização"
"8122/2020","Chama Aberta"
"8126/2020","Andaime - Pré-Montagem/Desmontagem"
"8137/2020","Andaime - Pré-Montagem/Desmontagem"
"8139/2020","Pressurizado"
"8168/2020","Pressurizado"
"8176/2020","Parafusadeira e Torqueadeira"
"8177/2020","Teste Hidrostático"
"8177/2020","Parafusadeira e Torqueadeira"
"8180/2020","Esmerilhadeira e Lixadeira"
"8181/2020","Chama Aberta"
"8184/2020","Tratamento Mecânico e Pintura"
"8188/2020","Chama Aberta"
"8190/2020","Chama Aberta"
"8197/2020","Serviço Crítico"
"8207/2020","Pressurizado"
"8225/2020","Pressurizado"
"8236/2020","Teste Hidrostático"
"8247/2020","Pressurizado"
"8248/2020","Andaime - Pós-Montagem/Utilização"
"8250/2020","Elétrico"
"8250/2020","Altura - Acesso por Cordas"
"8252/2020","Risco de Perda de Produção"
"8271/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8283/2020","Elétrico"
"8286/2020","Altura - Acesso por Cordas"
"8293/2020","Andaime - Pré-Montagem/Desmontagem"
"8296/2020","Tratamento manual e pintura"
"8307/2020","Altura - Acesso por Cordas"
"8313/2020","Pressurizado"
"8316/2020","Andaime - Pré-Montagem/Desmontagem"
"8332/2020","Esmerilhadeira e Lixadeira"
"8337/2020","Altura - Acesso por Cordas"
"8345/2020","Sobre o Mar"
"8358/2020","Altura - Acesso por Cordas"
"8360/2020","Chama Aberta"
"8362/2020","Andaime - Pré-Montagem/Desmontagem"
"8371/2020","Tratamento Mecânico e Pintura"
"8371/2020","Andaime - Pós-Montagem/Utilização"
"8374/2020","Andaime - Pré-Montagem/Desmontagem"
"8375/2020","Tratamento Mecânico e Pintura"
"8388/2020","Tratamento manual e pintura"
"8391/2020","Andaime - Pós-Montagem/Utilização"
"8395/2020","Esmerilhadeira e Lixadeira"
"8409/2020","Andaime - Pós-Montagem/Utilização"
"8413/2020","Pressurizado"
"8443/2020","Andaime - Pré-Montagem/Desmontagem"
"8445/2020","Andaime - Pós-Montagem/Utilização"
"8458/2020","Risco de Perda de Produção"
"8470/2020","Tratamento manual e pintura"
"8477/2020","Pressurizado"
"8499/2020","Serviço Crítico"
"8500/2020","Andaime - Pré-Montagem/Desmontagem"
"8507/2020","Tratamento manual e pintura"
"8513/2020","Risco de Perda de Produção"
"8524/2020","Serviço Crítico"
"8539/2020","Andaime - Pós-Montagem/Utilização"
"8552/2020","Risco de Perda de Produção"
"8595/2020","Altura - Acesso por Cordas"
"8602/2020","Elétrico"
"8603/2020","Chama Aberta"
"8604/2020","Pressurizado"
"8615/2020","Andaime - Pós-Montagem/Utilização"
"8620/2020","Hidrojateamento"
"8621/2020","Elétrico"
"8624/2020","Noturno"
"8625/2020","Esmerilhadeira e Lixadeira"
"8626/2020","Chama Aberta"
"8634/2020","Altura - Acesso por Cordas"
"8641/2020","Andaime - Pós-Montagem/Utilização"
"8644/2020","Elétrico"
"8654/2020","Pressurizado"
"8662/2020","Andaime - Pré-Montagem/Desmontagem"
"8664/2020","Chama Aberta"
"8675/2020","Pressurizado"
"8678/2020","Andaime - Pós-Montagem/Utilização"
"8687/2020","Altura - Acesso por Cordas"
"8695/2020","Pressurizado"
"8703/2020","Pressurizado"
"8706/2020","Pressurizado"
"8708/2020","Serviço Crítico"
"8724/2020","Tratamento Mecânico e Pintura"
"8726/2020","Andaime - Pós-Montagem/Utilização"
"8732/2020","Chama Aberta"
"8741/2020","Tratamento manual e pintura"
"8745/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8771/2020","Altura - Acesso por Cordas"
"8775/2020","Chama Aberta"
"8786/2020","Andaime - Pré-Montagem/Desmontagem"
"8801/2020","Altura - Acesso por Cordas"
"8802/2020","Pressurizado"
"8804/2020","Tratamento manual e pintura"
"8805/2020","Pressurizado"
"8806/2020","Tratamento Mecânico e Pintura"
"8811/2020","Pressurizado"
"8820/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8823/2020","Andaime - Pós-Montagem/Utilização"
"8827/2020","Andaime - Pós-Montagem/Utilização"
"8830/2020","Andaime - Pré-Montagem/Desmontagem"
"8848/2020","Risco de Perda de Produção"
"8854/2020","Andaime - Pós-Montagem/Utilização"
"8858/2020","Andaime - Pós-Montagem/Utilização"
"8861/2020","Parafusadeira e Torqueadeira"
"8867/2020","Andaime - Pré-Montagem/Desmontagem"
"8870/2020","Pressurizado"
"8874/2020","Pressurizado"
"8875/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8879/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8882/2020","Elétrico"
"8892/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8899/2020","Andaime - Pré-Montagem/Desmontagem"
"8906/2020","Pressurizado"
"8916/2020","Andaime - Pós-Montagem/Utilização"
"8923/2020","Pressurizado"
"8924/2020","Altura - Acesso por Cordas"
"8929/2020","Elétrico"
"8930/2020","Andaime - Pós-Montagem/Utilização"
"8931/2020","Elétrico"
"8945/2020","Chama Aberta"
"8945/2020","Andaime - Pós-Montagem/Utilização"
"8955/2020","Andaime - Pré-Montagem/Desmontagem"
"8956/2020","Tratamento Mecânico e Pintura"
"8957/2020","Pressurizado"
"8970/2020","Pressurizado"
"8980/2020","Chama Aberta"
"8981/2020","Sobre o Mar"
"8981/2020","Andaime - Pré-Montagem/Desmontagem"
"8983/2020","Andaime - Pós-Montagem/Utilização"
"8986/2020","Chama Aberta"
"8987/2020","Chama Aberta"
"8994/2020","Movimentação de Carga"
"8996/2020","Sobre o Mar"
"8999/2020","Esmerilhadeira e Lixadeira"
"9005/2020","Elétrico"
"9010/2020","Chama Aberta"
"9011/2020","Tratamento Mecânico e Pintura"
"9012/2020","Altura - Acesso por Cordas"
"9029/2020","Espaço Confinado"
"9031/2020","Andaime - Pré-Montagem/Desmontagem"
"9035/2020","Risco de Perda de Produção"
"9038/2020","Altura - Acesso por Cordas"
"9051/2020","Pressurizado"
"9058/2020","Altura - Acesso por Cordas"
"9061/2020","Chama Aberta"
"9062/2020","Noturno"
"9065/2020","Substituição de PSV"
"9089/2020","Esmerilhadeira e Lixadeira"
"9097/2020","Andaime - Pré-Montagem/Desmontagem"
"9104/2020","Pressurizado"
"9104/2020","Substituição de PSV"
"9112/2020","Elétrico"
"9113/2020","Elétrico"
"9117/2020","Pressurizado"
"9126/2020","Parafusadeira e Torqueadeira"
"9134/2020","Esmerilhadeira e Lixadeira"
"9135/2020","Pressurizado"
"9149/2020","Altura - Acesso por Cordas"
"9150/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9154/2020","Esmerilhadeira e Lixadeira"
"9162/2020","Tratamento Mecânico e Pintura"
"9165/2020","Andaime - Pré-Montagem/Desmontagem"
"9178/2020","Tratamento Mecânico e Pintura"
"9189/2020","Parafusadeira e Torqueadeira"
"9193/2020","Esmerilhadeira e Lixadeira"
"9199/2020","Altura - Acesso por Cordas"
"9204/2020","Pressurizado"
"9214/2020","Chama Aberta"
"9214/2020","Esmerilhadeira e Lixadeira"
"9242/2020","Chama Aberta"
"9254/2020","Altura - Acesso por Cordas"
"9255/2020","Chama Aberta"
"9275/2020","Espaço Confinado"
"9284/2020","Chama Aberta"
"9308/2020","Andaime - Pré-Montagem/Desmontagem"
"9310/2020","Andaime - Pré-Montagem/Desmontagem"
"9311/2020","Andaime - Pré-Montagem/Desmontagem"
"9316/2020","Esmerilhadeira e Lixadeira"
"9322/2020","Pressurizado"
"9332/2020","Elétrico"
"9334/2020","Intervenção Automação - PLC"
"9342/2020","Andaime - Pós-Montagem/Utilização"
"9345/2020","Pressurizado"
"9357/2020","Chama Aberta"
"9361/2020","Chama Aberta"
"9376/2020","Chama Aberta"
"9388/2020","Elétrico"
"9395/2020","Andaime - Pré-Montagem/Desmontagem"
"9403/2020","Andaime - Pós-Montagem/Utilização"
"9403/2020","Uso de Marreta"
"9404/2020","Andaime - Pré-Montagem/Desmontagem"
"9409/2020","Chama Aberta"
"9409/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9417/2020","Esmerilhadeira e Lixadeira"
"9419/2020","Pressurizado"
"9419/2020","Andaime - Pós-Montagem/Utilização"
"9425/2020","Tratamento manual e pintura"
"9431/2020","Pressurizado"
"9442/2020","Pressurizado"
"9450/2020","Risco de Perda de Produção"
"9451/2020","Andaime - Pré-Montagem/Desmontagem"
"9456/2020","Pressurizado"
"9464/2020","Tratamento Mecânico e Pintura"
"9467/2020","Andaime - Pré-Montagem/Desmontagem"
"9469/2020","Andaime - Pré-Montagem/Desmontagem"
"9474/2020","Andaime - Pós-Montagem/Utilização"
"9479/2020","Tratamento Mecânico e Pintura"
"9487/2020","Elétrico"
"9502/2020","Andaime - Pré-Montagem/Desmontagem"
"9505/2020","Tratamento Mecânico e Pintura"
"9514/2020","Elétrico"
"9529/2020","Andaime - Pré-Montagem/Desmontagem"
"9546/2020","Chama Aberta"
"9546/2020","Andaime - Pós-Montagem/Utilização"
"9563/2020","Andaime - Pós-Montagem/Utilização"
"9594/2020","Andaime - Pós-Montagem/Utilização"
"9594/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9597/2020","Chama Aberta"
"9597/2020","Andaime - Pós-Montagem/Utilização"
"9602/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9617/2020","Andaime - Pós-Montagem/Utilização"
"9620/2020","Andaime - Pré-Montagem/Desmontagem"
"9622/2020","Andaime - Pré-Montagem/Desmontagem"
"9626/2020","Tratamento Mecânico e Pintura"
"9647/2020","Andaime - Pós-Montagem/Utilização"
"9696/2020","Chama Aberta"
"9698/2020","Esmerilhadeira e Lixadeira"
"9699/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9706/2020","Serviço Crítico"
"9708/2020","Inibição em funções de Controle e Segurança"
"9720/2020","Andaime - Pré-Montagem/Desmontagem"
"9725/2020","Andaime - Pré-Montagem/Desmontagem"
"9728/2020","Pressurizado"
"9730/2020","Chama Aberta"
"9731/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9735/2020","Pressurizado"
"9743/2020","Hidrojateamento"
"9743/2020","Andaime - Pós-Montagem/Utilização"
"9749/2020","Andaime - Pré-Montagem/Desmontagem"
"9751/2020","Chama Aberta"
"9760/2020","Pressurizado"
"9770/2020","Chama Aberta"
"9775/2020","Andaime - Pós-Montagem/Utilização"
"9784/2020","Andaime - Pós-Montagem/Utilização"
